path,creation_time,modification_time
projects-data-analysis.csv,2025-02-02 12:56:29.523982,2025-02-02 13:09:43.029024
projects-data-analysis.csv,2025-02-02 12:56:29.523982,2025-02-02 13:09:43.029024
rubik-stats/__pycache__,2025-02-02 13:14:09.612513,2025-02-02 13:14:09.612912
rubik-stats/display-cstimer.json,2025-02-02 13:15:57.300953,2025-02-02 13:15:57.302083
rubik-stats/display-cubetime.json,2025-02-02 13:16:23.792772,2025-02-02 13:16:23.794692
rubik-stats/display-cubetime-session.json,2025-02-02 13:19:32.630508,2025-02-02 13:19:32.630685
rubik-stats/display-cstimer-session.json,2025-02-02 13:19:17.606218,2025-02-02 13:19:17.606537
rubik-stats/usage.py,2025-02-02 13:12:53.915620,2025-02-02 13:14:07.538469
rubik-stats/cstimer_20250202_160540.txt,2025-02-02 16:06:07.778642,2025-02-02 16:06:07.778878
rubik-stats/__pycache__/main.cpython-311.pyc,2025-02-02 13:14:09.612654,2025-02-02 13:14:09.612739
projects-data-analysis.csv,2025-02-02 12:56:29.523982,2025-02-02 13:09:43.029024
rubik-stats/__pycache__,2025-02-02 13:14:09.612513,2025-02-02 13:14:09.612912
rubik-stats/display-cstimer.json,2025-02-02 13:15:57.300953,2025-02-02 13:15:57.302083
rubik-stats/display-cubetime.json,2025-02-02 13:16:23.792772,2025-02-02 13:16:23.794692
rubik-stats/display-cubetime-session.json,2025-02-02 13:19:32.630508,2025-02-02 13:19:32.630685
rubik-stats/display-cstimer-session.json,2025-02-02 13:19:17.606218,2025-02-02 13:19:17.606537
rubik-stats/usage.py,2025-02-02 13:12:53.915620,2025-02-02 13:14:07.538469
rubik-stats/cstimer_20250202_160540.txt,2025-02-02 16:06:07.778642,2025-02-02 16:06:07.778878
rubik-stats/__pycache__/main.cpython-311.pyc,2025-02-02 13:14:09.612654,2025-02-02 13:14:09.612739
